author,book_name,img
"by,Patrick Lencioni,|,Apr 11, 2002",The Five Dysfunctions of a Team: A Leadership Fable,https://m.media-amazon.com/images/I/51QArmq8raL._AC_UY218_ML3_.jpg
"by,Malcolm Gladwell,and,Hachette Audio",Outliers: The Story of Success,https://m.media-amazon.com/images/I/71qdTd0KYAL._AC_UY218_ML3_.jpg
"by,Kerry Patterson,,,Joseph Grenny,, et al.,|,Sep 9, 2011","Crucial Conversations Tools for Talking When Stakes Are High, Second Edition",https://m.media-amazon.com/images/I/81RpGOQdVwL._AC_UY218_ML3_.jpg
"by,Daniel Kahneman,,,Patrick Egan,, et al.","Thinking, Fast and Slow",https://m.media-amazon.com/images/I/71CPEr8zrWL._AC_UY218_ML3_.jpg
"by,Simon Sinek,and,Penguin Audio",Start with Why: How Great Leaders Inspire Everyone to Take Action,https://m.media-amazon.com/images/I/71tQ6jq5-ZL._AC_UY218_ML3_.jpg
"by,Dan Heath,|,Mar 3, 2020",Upstream: The Quest to Solve Problems Before They Happen,https://m.media-amazon.com/images/I/7197ym8nPAL._AC_UY218_ML3_.jpg
"by,Thomas Piketty,and,Arthur Goldhammer,|,Mar 10, 2020",Capital and Ideology,https://m.media-amazon.com/images/I/616b48a7BFL._AC_UY218_ML3_.jpg
"by,Celeste Headlee,|,Mar 10, 2020","Do Nothing: How to Break Away from Overworking, Overdoing, and Underliving",https://m.media-amazon.com/images/I/71eUTKsw0ML._AC_UY218_ML3_.jpg
"by,Project Management Institute,|,Sep 22, 2017",A Guide to the Project Management Body of Knowledge (PMBOK® Guide)–Sixth Edition,https://m.media-amazon.com/images/I/61LAYsikWmL._AC_UY218_ML3_.jpg
"by,Patrick M. Lencioni,|,Feb 26, 2020",The Motive: Why So Many Leaders Abdicate Their Most Important Responsibilities,https://m.media-amazon.com/images/I/71dHE7o4uZL._AC_UY218_ML3_.jpg
"by,Travis Bradberry,,,Jean Greaves,, et al.,|,Jun 16, 2009",Emotional Intelligence 2.0,https://m.media-amazon.com/images/I/71t1Di9ivtL._AC_UY218_ML3_.jpg
"by,Ryan Holiday,and,Stephen Hanselman,|,Oct 18, 2016","The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",https://m.media-amazon.com/images/I/71l+BjaWMmL._AC_UY218_ML3_.jpg
"by,Gayle Laakmann McDowell,|,Jul 1, 2015",Cracking the Coding Interview: 189 Programming Questions and Solutions,https://m.media-amazon.com/images/I/71jRvBEDNmL._AC_UY218_ML3_.jpg
"by,Brené Brown,and,Random House Audio",Dare to Lead: Brave Work. Tough Conversations. Whole Hearts.,https://m.media-amazon.com/images/I/71CCSr9mODL._AC_UY218_ML3_.jpg
"by,Ray Dalio,,,Jeremy Bobb,, et al.",Principles: Life and Work,https://m.media-amazon.com/images/I/81OlHz-7yPL._AC_UY218_ML3_.jpg
"by,Stephen R. Covey,and,Simon & Schuster Audio",The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,https://m.media-amazon.com/images/I/51lnpupuVtL._AC_UY218_ML3_.jpg
